id,RowId,ColId,QCScore,MedianExcess,NumExcess,LS3x3,DBSumPos,DBSumNeg,pGamma,pBeta,-ExcessHSA,-ExcessCRX,pGamma_scrambled
85,NCGC00345829,NCGC00164591,2,30.03251,6,0.04637,1.16833,0,-0.008608687,-0.25413945,-45.51301,0,-0.001534688
88,NCGC00263117,NCGC00164591,2,1.56466,15,-0.28992,0.36932,-7.00E-05,-0.15040948,-1.527307604,-8.4473,-1.46318,0.011909478
90,NCGC00242478,NCGC00164591,2,17.85301,16,-1.01383,0.51209,-0.00279,0.001998001,-0.194525442,1.21399,0,0.007313961
92,NCGC00247878,NCGC00164591,2,30.17323,8,-0.07564,0.69173,-0.00141,-0.014860617,-0.398889207,8.76755,0,0.000382347
93,NCGC00241102,NCGC00164591,2,6.62882,14,-0.97407,0.49997,-0.00047,-0.093607271,-0.778829667,-5.073,0.46479,0.00893349
96,NCGC00162453,NCGC00164591,2,17.53892,6,0,0.94337,0,-0.067212249,-0.335465925,-8.00555,-8.00555,-0.015648909
97,NCGC00179536,NCGC00164591,2,21.98373,7,-0.11626,1.20682,0,-0.040475751,-0.34503636,-13.49245,-13.49245,-0.002209273
100,NCGC00017363,NCGC00164591,2,25.44058,12,-0.49373,1.01959,-0.00017,-0.017313035,-0.209651715,-16.1254,3.27528,-0.002865555
101,NCGC00015871,NCGC00164591,3,68.96595,9,-8.71641,0.24339,-0.33246,0.025253493,-0.04370015,94.08005,0,0.056733078
102,NCGC00024379,NCGC00164591,0,54.95881,9,-0.72832,0.47277,-0.02975,-0.002157419,-0.035941784,9.9672,0,0.02294435
103,NCGC00346681,NCGC00164591,0,23.48469,12,-1.26563,0.34063,-0.0076,-0.002425265,-0.016511037,8.034,8.034,0.007689543
104,NCGC00249613,NCGC00164591,0,29.02911,10,-1.13112,0.12574,-0.10263,-0.000785362,-0.006769728,8.85341,8.85341,-0.009947798
105,NCGC00242441,NCGC00164591,0,55.93568,25,-13.54594,0.13164,-0.30503,0.036689214,-0.017116849,122.74951,1.28234,-0.015732686
106,NCGC00162440,NCGC00164591,3,63.71518,2,0,1.30596,0,-0.020705101,-0.02109002,-129.3289,0,0.003321997
107,NCGC00162398,NCGC00164591,0,76.56229,16,-12.42934,0.08398,-0.95724,0.04406223,0.024021646,141.54757,0,0.005119993
108,NCGC00346692,NCGC00164591,0,65.33167,15,-6.31662,0.06403,-0.4259,0.015661747,0.011062204,70.88652,0,0.027616629
109,NCGC00346536,NCGC00164591,3,98.73266,20,-9.96144,0.01148,-1.07861,0.025276508,0.024715279,108.43209,-3.86255,-0.003572538
110,NCGC00167490,NCGC00095235,0,75.1951,25,-11.05821,0.0033,-1.32484,0.045849185,0.030635349,174.66093,-8.24534,0.032302293
111,NCGC00179250,NCGC00095235,0,59.72234,20,-8.04727,0.01753,-0.96937,0.101280302,0.037611721,164.11851,0,2.17E-05
112,NCGC00016961,NCGC00095235,0,39.02634,22,-6.26268,0.35544,-0.01498,0.027357534,-0.030085388,87.04978,0.2606,0.001100157
113,NCGC00159445,NCGC00095235,0,72.08894,24,-23.27549,0.00933,-1.52022,0.077445803,0.050161292,216.78728,-3.5499,0.022811592
115,NCGC00344515,NCGC00095235,0,27.76667,4,0,0.06287,-0.02591,0.000425817,-0.012060704,5.31284,0,0.016454897
116,NCGC00016864,NCGC00095235,0,59.92892,19,-18.3166,0.02532,-0.84797,0.074126062,0.032746957,172.30447,0,0.002089633
117,NCGC00246187,NCGC00095235,0,39.94957,13,-0.28929,0.00712,-0.00996,5.21E-05,-0.005630881,3.98812,-0.03151,-0.005815183
118,NCGC00017063,NCGC00095235,0,51.70295,13,-2.52911,0.27986,-0.22905,0.013712079,-0.010321162,53.59389,0,-0.058331107
119,NCGC00161602,NCGC00095235,0,42.90094,16,-8.07985,0.30996,-0.25232,0.020105784,0.003834325,96.5817,-0.90779,-0.049810895
120,NCGC00016528,NCGC00095235,0,38.06122,21,-4.70765,0.11879,-0.13597,0.031778641,0.003974554,85.76649,0.15052,0.046699483
121,NCGC00264106,NCGC00095235,0,38.70652,22,-6.79989,0.86396,-0.00347,0.032302293,-0.050000598,106.93507,-2.16405,-0.015317833
122,NCGC00016612,NCGC00095235,3,71.51405,15,-3.91797,0.42454,-0.40403,0.003707281,-0.014323087,46.04819,-0.163,-0.010321162
123,NCGC00348199,NCGC00095235,0,53.29972,20,-14.1184,0.26703,-0.17064,0.05394094,0.005291411,140.65998,-1.64504,0.02613355
124,NCGC00090753,NCGC00095235,3,55.21371,23,-10.79172,0.46272,-0.23792,0.032026362,-0.00636334,139.23525,-2.96381,-0.036381341
125,NCGC00263785,NCGC00095235,0,57.77254,12,-1.30182,0.1244,-0.25412,0.026544239,0.003974554,65.34841,0,-0.01037205
126,NCGC00179454,NCGC00095235,0,51.31682,14,-12.48569,0.29541,-0.18261,0.030271992,-0.033383541,89.79171,0,0.010287727
127,NCGC00346487,NCGC00095235,0,37.34489,18,-9.44517,0.16999,-0.20814,0.028594254,-0.025903633,84.32462,-8.6184,0.000212856
128,NCGC00346524,NCGC00095235,0,41.10448,13,-7.04521,0.09553,-0.34458,0.042656147,0.014551071,95.00735,0,0.026401146
129,NCGC00346654,NCGC00095235,3,60.07389,10,-0.06608,1.04391,-0.18028,-0.007461852,-0.018787848,-17.29943,0.4113,-0.000980398
130,NCGC00346509,NCGC00095235,3,70.87581,13,-2.53987,0.33267,-0.29734,-0.001335571,-0.003662983,1.68643,-0.03224,0.020255918
131,NCGC00263379,NCGC00095235,0,30.99028,15,-6.78756,1.26966,-0.00754,0.012280122,-0.088724204,41.89816,0,0.030090428
132,NCGC00016526,NCGC00095235,0,32.17634,13,-2.69039,0.91192,-0.00021,0.002045996,-0.048041509,26.88963,-3.67826,0.029862417
133,NCGC00264109,NCGC00095235,0,25.85573,19,-1.221,0.55352,-7.00E-05,0.008264592,-0.038763181,28.53085,-0.44599,0.011592671
134,NCGC00095992,NCGC00095235,0,75.31219,17,-9.05231,0.22658,-0.95968,0.057674408,0.02811675,136.25941,-2.14727,0.004097292
135,NCGC00273480,NCGC00095235,0,39.98549,14,-0.18251,0.43739,-0.05116,-0.00634622,-0.04294547,2.74886,-0.03923,0.021249019
137,NCGC00162409,NCGC00095235,0,65.66936,14,-7.76348,0.32334,-0.29618,0.016247457,-0.045366015,91.31679,0,0.010875135
138,NCGC00345829,NCGC00095235,3,84.39635,11,-1.07493,1.05998,-0.26133,-0.002420946,-0.030696851,-14.47947,0.1015,-0.001101709
139,NCGC00346484,NCGC00095235,3,87.56793,12,-1.05477,0.45905,-0.996,0.016035609,0.009683349,77.70278,-1.30415,0.071978171
140,NCGC00025060,NCGC00095235,0,28.4231,16,-4.09975,0.57165,-0.19308,0.009519068,-0.020895534,27.73645,-0.83188,0.053832773
141,NCGC00263117,NCGC00095235,0,63.47814,16,-8.27385,0.49151,-0.38435,0.013622444,-0.038075462,76.44139,0,0.016035609
142,NCGC00185850,NCGC00095235,0,67.56704,13,-2.86952,0.30129,-0.28111,-0.002800834,-0.012959485,14.06492,0,-0.000173683
143,NCGC00242478,NCGC00095235,0,42.3449,15,-9.05332,0.17648,-0.55071,0.016157296,0.00623762,98.93196,-0.29991,-0.024493877
145,NCGC00247878,NCGC00095235,0,45.30564,20,-7.99772,0.11161,-0.33182,0.031274288,0.012843392,95.7414,0.0181,0.003055125
146,NCGC00241102,NCGC00095235,0,53.78204,18,-9.95253,0.40435,-0.36157,0.027755494,-0.027145666,120.60795,0,0.097333657
147,NCGC00263215,NCGC00095235,3,49.5879,11,-3.95211,0.7117,-0.18881,0.002102725,-0.029095505,43.65043,0,0.000786785
148,NCGC00091112,NCGC00095235,3,95.64486,17,-2.02678,0.34395,-0.31796,-0.002442539,-0.003968635,4.35986,0.00034,0.010550182
